algorithm,mix_AUROC,mix_AUROC_low,mix_AUROC_high,mix_AUPRC,mix_AUPRC_low,mix_AUPRC_high,fold_AUROC,fold_AUROC_low,fold_AUROC_high,fold_AUPRC,fold_AUPRC_low,fold_AUPRC_high,dis_AUROC,dis_AUROC_low,dis_AUROC_high,dis_AUPRC,dis_AUPRC_low,dis_AUPRC_high
Molphase,0.8764529719303589,0.8458054159687325,0.9053728237145322,0.8344658324372354,0.7954207959401425,0.8748413577034753,0.9621,0.92855,0.988,0.974184277507961,0.9538606309473849,0.9906948113920971,0.8836322407750979,0.8365272624201195,0.9242978251906823,0.8103806012257816,0.7535789477258955,0.8700289078036479
DeePhase,0.8843875,0.8554853124999999,0.9125403125000001,0.8501410794769637,0.8033469824116147,0.8954324138731192,0.9689,0.9464975,0.9866512499999999,0.9734183411810894,0.9553827303158635,0.9878732427260485,0.91825,0.8725999999999999,0.9551049999999999,0.873214829504,0.8043063951709195,0.940184779106535
Fuzdrop,0.8369318181818182,0.8046180555555555,0.8684864267676767,0.8344789032870187,0.7988805070028671,0.8697835487276105,0.8977,0.8494974999999999,0.9399025,0.9212867808559118,0.8851151069415805,0.951629250253183,0.9138265306122448,0.8719885204081632,0.9503571428571429,0.903323480313264,0.8557947496079177,0.9462855670816359
PSPHunter,0.8323625000000001,0.793223125,0.867975625,0.7942597655544342,0.7447982863738817,0.8470692281181857,0.8554499999999999,0.7981,0.90720375,0.8108244912688216,0.735477912857929,0.8856491848134658,0.8484,0.7911999999999999,0.8996999999999999,0.8101053614577087,0.7368059431617479,0.8850335547765973
PICNIC,0.6432087371173665,0.5892394759780547,0.6972279905655541,0.6205695583771995,0.568829231237366,0.6821017332872745,0.6409550045913683,0.5664728088970514,0.715136210590756,0.6403720926429002,0.5704744448276511,0.7248783696503792,0.6415172129457845,0.5618429189857762,0.720263863121006,0.608244655772228,0.541815589131569,0.6991396178817568
PSPire,0.7692502918633572,0.7217381097406224,0.8149852799350286,0.8095752589776521,0.7675441628196137,0.8506292103869422,0.7007070707070707,0.6209065656565658,0.7747525252525252,0.756535305786701,0.6870166666920016,0.8237172807341018,0.8394041424344456,0.7795122946638099,0.8920543822058974,0.8754933241983932,0.8299520580841406,0.9153771808039538
Phaseek,0.8361999999999999,0.7995975,0.872050625,0.7700967273771975,0.7193607257260746,0.8314694736737489,0.8972,0.8478975,0.9431025,0.8374268394458222,0.7600986486025232,0.9262220955881351,0.8536999999999999,0.7964,0.9063,0.7796018485756331,0.7026818748885112,0.872976366947104
PSAP,0.5300124999999999,0.47917375,0.5797640624999999,0.5103092307050308,0.4757759277660763,0.55645107364696,0.4639,0.38429874999999997,0.5435500000000001,0.4764551755880904,0.4297072382954026,0.5452231546088262,0.6061,0.52869875,0.6844525,0.5770207995927208,0.5149149471310557,0.6603769977755507
LLPhyScore,0.4058793969849246,0.3595326633165829,0.4517974246231156,0.5418932170014392,0.49772452238675724,0.5898402639570706,0.1046,0.06330000000000001,0.15100499999999994,0.33221586725333857,0.31871300892126764,0.36350949581152225,0.676969696969697,0.5993421717171717,0.749901515151515,0.7069709931570068,0.6333830608990167,0.7868705783701702
